GID	Pathway	Pathway_Name	Pathway_Class
MD06G1185300	ko03040	Spliceosome	Genetic Information Processing
MD06G1186000	ko04626	Plant-pathogen interaction	Organismal Systems
MD06G1186000	ko05145	Toxoplasmosis	Human Diseases
MD06G1186400	ko00190	Oxidative phosphorylation	Metabolism
MD06G1188300	ko04020	Calcium signaling pathway	Environmental Information Processing
MD06G1188300	ko04022	cGMP-PKG signaling pathway	Environmental Information Processing
MD06G1188300	ko04216	Ferroptosis	Cellular Processes
MD06G1188300	ko04217	Necroptosis	Cellular Processes
MD06G1188300	ko04218	Cellular senescence	Cellular Processes
MD06G1188300	ko04621	NOD-like receptor signaling pathway	Organismal Systems
MD06G1188300	ko04979	Cholesterol metabolism	Organismal Systems
MD06G1188300	ko05012	Parkinson disease	Human Diseases
MD06G1188300	ko05016	Huntington disease	Human Diseases
MD06G1188300	ko05166	Human T-cell leukemia virus 1 infection	Human Diseases
MD06G1188600	ko00040	Pentose and glucuronate interconversions	Metabolism
MD06G1188600	ko02024	Quorum sensing	Cellular Processes
MD06G1188700	ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	Metabolism
MD06G1188700	ko01053	Biosynthesis of siderophore group nonribosomal peptides	Metabolism
MD06G1188900	ko03013	RNA transport	Genetic Information Processing
MD06G1189000	ko00250	Alanine, aspartate and glutamate metabolism	Metabolism
MD06G1189000	ko00330	Arginine and proline metabolism	Metabolism
MD06G1189200	ko04120	Ubiquitin mediated proteolysis	Genetic Information Processing
MD06G1189900	ko00010	Glycolysis / Gluconeogenesis	Metabolism
MD06G1189900	ko00052	Galactose metabolism	Metabolism
MD06G1190100	ko04144	Endocytosis	Cellular Processes
MD06G1191300	ko03010	Ribosome	Genetic Information Processing
MD06G1192000	ko00480	Glutathione metabolism	Metabolism
MD06G1192000	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism
MD06G1192000	ko00982	Drug metabolism - cytochrome P450	Metabolism
MD06G1192000	ko00983	Drug metabolism - other enzymes	Metabolism
MD06G1192000	ko05200	Pathways in cancer	Human Diseases
MD06G1192000	ko05204	Chemical carcinogenesis	Human Diseases
MD06G1192000	ko05225	Hepatocellular carcinoma	Human Diseases
MD06G1192000	ko05418	Fluid shear stress and atherosclerosis	Human Diseases
MD06G1192000	ko01524	Platinum drug resistance	Human Diseases
MD06G1192100	ko00480	Glutathione metabolism	Metabolism
MD06G1192100	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism
MD06G1192100	ko00982	Drug metabolism - cytochrome P450	Metabolism
MD06G1192100	ko00983	Drug metabolism - other enzymes	Metabolism
MD06G1192100	ko05200	Pathways in cancer	Human Diseases
MD06G1192100	ko05204	Chemical carcinogenesis	Human Diseases
MD06G1192100	ko05225	Hepatocellular carcinoma	Human Diseases
MD06G1192100	ko05418	Fluid shear stress and atherosclerosis	Human Diseases
MD06G1192100	ko01524	Platinum drug resistance	Human Diseases
MD06G1193800	ko00020	Citrate cycle (TCA cycle)	Metabolism
MD06G1193800	ko00620	Pyruvate metabolism	Metabolism
MD06G1193800	ko00630	Glyoxylate and dicarboxylate metabolism	Metabolism
MD06G1193800	ko00710	Carbon fixation in photosynthetic organisms	Metabolism
MD06G1193800	ko00270	Cysteine and methionine metabolism	Metabolism
MD06G1193900	ko00860	Porphyrin and chlorophyll metabolism	Metabolism
MD06G1193900	ko00900	Terpenoid backbone biosynthesis	Metabolism
MD06G1194700	ko04014	Ras signaling pathway	Environmental Information Processing
MD06G1194700	ko04015	Rap1 signaling pathway	Environmental Information Processing
MD06G1194700	ko04016	MAPK signaling pathway - plant	Environmental Information Processing
MD06G1194700	ko04371	Apelin signaling pathway	Environmental Information Processing
MD06G1194700	ko04020	Calcium signaling pathway	Environmental Information Processing
MD06G1194700	ko04070	Phosphatidylinositol signaling system	Environmental Information Processing
MD06G1194700	ko04024	cAMP signaling pathway	Environmental Information Processing
MD06G1194700	ko04022	cGMP-PKG signaling pathway	Environmental Information Processing
MD06G1194700	ko04114	Oocyte meiosis	Cellular Processes
MD06G1194700	ko04218	Cellular senescence	Cellular Processes
MD06G1194700	ko04625	C-type lectin receptor signaling pathway	Organismal Systems
MD06G1194700	ko04910	Insulin signaling pathway	Organismal Systems
MD06G1194700	ko04922	Glucagon signaling pathway	Organismal Systems
MD06G1194700	ko04912	GnRH signaling pathway	Organismal Systems
MD06G1194700	ko04915	Estrogen signaling pathway	Organismal Systems
MD06G1194700	ko04921	Oxytocin signaling pathway	Organismal Systems
MD06G1194700	ko04916	Melanogenesis	Organismal Systems
MD06G1194700	ko04924	Renin secretion	Organismal Systems
MD06G1194700	ko04925	Aldosterone synthesis and secretion	Organismal Systems
MD06G1194700	ko04261	Adrenergic signaling in cardiomyocytes	Organismal Systems
MD06G1194700	ko04270	Vascular smooth muscle contraction	Organismal Systems
MD06G1194700	ko04970	Salivary secretion	Organismal Systems
MD06G1194700	ko04971	Gastric acid secretion	Organismal Systems
MD06G1194700	ko04728	Dopaminergic synapse	Organismal Systems
MD06G1194700	ko04720	Long-term potentiation	Organismal Systems
MD06G1194700	ko04722	Neurotrophin signaling pathway	Organismal Systems
MD06G1194700	ko04744	Phototransduction	Organismal Systems
MD06G1194700	ko04745	Phototransduction - fly	Organismal Systems
MD06G1194700	ko04740	Olfactory transduction	Organismal Systems
MD06G1194700	ko04750	Inflammatory mediator regulation of TRP channels	Organismal Systems
MD06G1194700	ko04713	Circadian entrainment	Organismal Systems
MD06G1194700	ko04626	Plant-pathogen interaction	Organismal Systems
MD06G1194700	ko05200	Pathways in cancer	Human Diseases
MD06G1194700	ko05214	Glioma	Human Diseases
MD06G1194700	ko05010	Alzheimer disease	Human Diseases
MD06G1194700	ko05031	Amphetamine addiction	Human Diseases
MD06G1194700	ko05034	Alcoholism	Human Diseases
MD06G1194700	ko05418	Fluid shear stress and atherosclerosis	Human Diseases
MD06G1194700	ko05133	Pertussis	Human Diseases
MD06G1194700	ko05152	Tuberculosis	Human Diseases
MD06G1194700	ko05170	Human immunodeficiency virus 1 infection	Human Diseases
MD06G1194700	ko05163	Human cytomegalovirus infection	Human Diseases
MD06G1194700	ko05167	Kaposi sarcoma-associated herpesvirus infection	Human Diseases
MD06G1195000	ko00196	Photosynthesis - antenna proteins	Metabolism
MD06G1196000	ko00830	Retinol metabolism	Metabolism
MD06G1196800	ko00030	Pentose phosphate pathway	Metabolism
MD06G1196800	ko00040	Pentose and glucuronate interconversions	Metabolism
MD06G1196800	ko00710	Carbon fixation in photosynthetic organisms	Metabolism
MD06G1197300	ko04712	Circadian rhythm - plant	Organismal Systems
MD06G1197400	ko04130	SNARE interactions in vesicular transport	Genetic Information Processing
MD06G1197400	ko04138	Autophagy - yeast	Cellular Processes
MD06G1198000	ko04320	Dorso-ventral axis formation	Organismal Systems
MD06G1198900	ko00240	Pyrimidine metabolism	Metabolism
MD06G1199600	ko00531	Glycosaminoglycan degradation	Metabolism
MD06G1199600	ko05205	Proteoglycans in cancer	Human Diseases
MD06G1199700	ko04911	Insulin secretion	Organismal Systems
MD06G1199700	ko04721	Synaptic vesicle cycle	Organismal Systems
MD06G1200000	ko04014	Ras signaling pathway	Environmental Information Processing
MD06G1200100	ko03040	Spliceosome	Genetic Information Processing
MD06G1200200	ko00040	Pentose and glucuronate interconversions	Metabolism
MD06G1200200	ko00053	Ascorbate and aldarate metabolism	Metabolism
MD06G1200200	ko00520	Amino sugar and nucleotide sugar metabolism	Metabolism
MD06G1200300	ko00561	Glycerolipid metabolism	Metabolism
MD06G1200300	ko00564	Glycerophospholipid metabolism	Metabolism
MD06G1200300	ko04070	Phosphatidylinositol signaling system	Environmental Information Processing
MD06G1200300	ko04072	Phospholipase D signaling pathway	Environmental Information Processing
MD06G1200300	ko05231	Choline metabolism in cancer	Human Diseases
MD06G1200400	ko03010	Ribosome	Genetic Information Processing
MD06G1201200	ko04213	Longevity regulating pathway - multiple species	Organismal Systems
MD06G1201600	ko04213	Longevity regulating pathway - multiple species	Organismal Systems
MD06G1201700	ko00941	Flavonoid biosynthesis	Metabolism
MD06G1201700	ko00944	Flavone and flavonol biosynthesis	Metabolism
MD06G1202300	ko05203	Viral carcinogenesis	Human Diseases
MD06G1202300	ko05034	Alcoholism	Human Diseases
MD06G1202300	ko05165	Human papillomavirus infection	Human Diseases
MD06G1202500	ko00680	Methane metabolism	Metabolism
MD06G1202500	ko00260	Glycine, serine and threonine metabolism	Metabolism
MD06G1202600	ko00190	Oxidative phosphorylation	Metabolism
MD06G1202600	ko04714	Thermogenesis	Organismal Systems
MD06G1202600	ko05010	Alzheimer disease	Human Diseases
MD06G1202600	ko05012	Parkinson disease	Human Diseases
MD06G1202600	ko05016	Huntington disease	Human Diseases
MD06G1202700	ko04010	MAPK signaling pathway	Environmental Information Processing
MD06G1202700	ko04922	Glucagon signaling pathway	Organismal Systems
MD06G1203600	ko03015	mRNA surveillance pathway	Genetic Information Processing
MD06G1203900	ko00520	Amino sugar and nucleotide sugar metabolism	Metabolism
MD06G1204800	ko04020	Calcium signaling pathway	Environmental Information Processing
MD06G1204800	ko04022	cGMP-PKG signaling pathway	Environmental Information Processing
MD06G1204800	ko04217	Necroptosis	Cellular Processes
MD06G1204800	ko04218	Cellular senescence	Cellular Processes
MD06G1204800	ko05012	Parkinson disease	Human Diseases
MD06G1204800	ko05016	Huntington disease	Human Diseases
MD06G1204800	ko05166	Human T-cell leukemia virus 1 infection	Human Diseases
MD06G1204900	ko00520	Amino sugar and nucleotide sugar metabolism	Metabolism
MD06G1205000	ko00140	Steroid hormone biosynthesis	Metabolism
MD06G1205000	ko00380	Tryptophan metabolism	Metabolism
MD06G1205000	ko00966	Glucosinolate biosynthesis	Metabolism
MD06G1207300	ko00600	Sphingolipid metabolism	Metabolism
MD06G1207300	ko04071	Sphingolipid signaling pathway	Environmental Information Processing
MD06G1207500	ko00330	Arginine and proline metabolism	Metabolism
MD06G1207900	ko03008	Ribosome biogenesis in eukaryotes	Genetic Information Processing
MD06G1208000	ko00970	Aminoacyl-tRNA biosynthesis	Genetic Information Processing
MD06G1208200	ko00430	Taurine and hypotaurine metabolism	Metabolism
MD06G1208300	ko00010	Glycolysis / Gluconeogenesis	Metabolism
MD06G1208300	ko00680	Methane metabolism	Metabolism
MD06G1208300	ko03018	RNA degradation	Genetic Information Processing
MD06G1208300	ko04066	HIF-1 signaling pathway	Environmental Information Processing
MD06G1209000	ko04626	Plant-pathogen interaction	Organismal Systems
MD06G1209800	ko03030	DNA replication	Genetic Information Processing
MD06G1209800	ko03430	Mismatch repair	Genetic Information Processing
MD06G1209800	ko03440	Homologous recombination	Genetic Information Processing
MD06G1210100	ko03013	RNA transport	Genetic Information Processing
MD06G1210700	ko03022	Basal transcription factors	Genetic Information Processing
MD06G1210700	ko05203	Viral carcinogenesis	Human Diseases
MD06G1210800	ko03022	Basal transcription factors	Genetic Information Processing
MD06G1211000	ko03022	Basal transcription factors	Genetic Information Processing
MD06G1211200	ko03430	Mismatch repair	Genetic Information Processing
MD06G1211200	ko05200	Pathways in cancer	Human Diseases
MD06G1211200	ko05210	Colorectal cancer	Human Diseases
MD06G1211200	ko01524	Platinum drug resistance	Human Diseases
MD06G1211400	ko00941	Flavonoid biosynthesis	Metabolism
MD06G1211800	ko05203	Viral carcinogenesis	Human Diseases
MD06G1211800	ko05034	Alcoholism	Human Diseases
MD06G1211800	ko05165	Human papillomavirus infection	Human Diseases
MD06G1212200	ko00100	Steroid biosynthesis	Metabolism
MD06G1212200	ko04142	Lysosome	Cellular Processes
MD06G1212200	ko04979	Cholesterol metabolism	Organismal Systems
MD06G1213300	ko00140	Steroid hormone biosynthesis	Metabolism
MD06G1213300	ko04913	Ovarian steroidogenesis	Organismal Systems
MD06G1213300	ko04917	Prolactin signaling pathway	Organismal Systems
MD06G1213300	ko04927	Cortisol synthesis and secretion	Organismal Systems
MD06G1213300	ko04934	Cushing syndrome	Human Diseases
MD06G1213500	ko00140	Steroid hormone biosynthesis	Metabolism
MD06G1213500	ko04913	Ovarian steroidogenesis	Organismal Systems
MD06G1213500	ko04917	Prolactin signaling pathway	Organismal Systems
MD06G1213500	ko04927	Cortisol synthesis and secretion	Organismal Systems
MD06G1213500	ko04934	Cushing syndrome	Human Diseases
MD06G1213700	ko00140	Steroid hormone biosynthesis	Metabolism
MD06G1213700	ko04913	Ovarian steroidogenesis	Organismal Systems
MD06G1213700	ko04917	Prolactin signaling pathway	Organismal Systems
MD06G1213700	ko04927	Cortisol synthesis and secretion	Organismal Systems
MD06G1213700	ko04934	Cushing syndrome	Human Diseases
MD06G1213800	ko00140	Steroid hormone biosynthesis	Metabolism
MD06G1213800	ko04913	Ovarian steroidogenesis	Organismal Systems
MD06G1213800	ko04917	Prolactin signaling pathway	Organismal Systems
MD06G1213800	ko04927	Cortisol synthesis and secretion	Organismal Systems
MD06G1213800	ko04934	Cushing syndrome	Human Diseases
MD06G1213900	ko00140	Steroid hormone biosynthesis	Metabolism
MD06G1213900	ko04913	Ovarian steroidogenesis	Organismal Systems
MD06G1213900	ko04917	Prolactin signaling pathway	Organismal Systems
MD06G1213900	ko04927	Cortisol synthesis and secretion	Organismal Systems
MD06G1213900	ko04934	Cushing syndrome	Human Diseases
MD06G1214000	ko00140	Steroid hormone biosynthesis	Metabolism
MD06G1214000	ko04913	Ovarian steroidogenesis	Organismal Systems
MD06G1214000	ko04917	Prolactin signaling pathway	Organismal Systems
MD06G1214000	ko04927	Cortisol synthesis and secretion	Organismal Systems
MD06G1214000	ko04934	Cushing syndrome	Human Diseases
MD06G1214300	ko03008	Ribosome biogenesis in eukaryotes	Genetic Information Processing
MD06G1214400	ko00140	Steroid hormone biosynthesis	Metabolism
MD06G1214400	ko04913	Ovarian steroidogenesis	Organismal Systems
MD06G1214400	ko04917	Prolactin signaling pathway	Organismal Systems
MD06G1214400	ko04927	Cortisol synthesis and secretion	Organismal Systems
MD06G1214400	ko04934	Cushing syndrome	Human Diseases
MD06G1214500	ko00140	Steroid hormone biosynthesis	Metabolism
MD06G1214500	ko00380	Tryptophan metabolism	Metabolism
MD06G1214500	ko00830	Retinol metabolism	Metabolism
MD06G1214500	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism
MD06G1214500	ko04913	Ovarian steroidogenesis	Organismal Systems
MD06G1214500	ko05204	Chemical carcinogenesis	Human Diseases
MD06G1214700	ko03015	mRNA surveillance pathway	Genetic Information Processing
MD06G1214700	ko04350	TGF-beta signaling pathway	Environmental Information Processing
MD06G1214700	ko04390	Hippo signaling pathway	Environmental Information Processing
MD06G1214700	ko04391	Hippo signaling pathway - fly	Environmental Information Processing
MD06G1214700	ko04071	Sphingolipid signaling pathway	Environmental Information Processing
MD06G1214700	ko04151	PI3K-Akt signaling pathway	Environmental Information Processing
MD06G1214700	ko04152	AMPK signaling pathway	Environmental Information Processing
MD06G1214700	ko04111	Cell cycle - yeast	Cellular Processes
MD06G1214700	ko04113	Meiosis - yeast	Cellular Processes
MD06G1214700	ko04114	Oocyte meiosis	Cellular Processes
MD06G1214700	ko04530	Tight junction	Cellular Processes
MD06G1214700	ko04261	Adrenergic signaling in cardiomyocytes	Organismal Systems
MD06G1214700	ko04728	Dopaminergic synapse	Organismal Systems
MD06G1214700	ko04730	Long-term depression	Organismal Systems
MD06G1214700	ko05160	Hepatitis C	Human Diseases
MD06G1214700	ko05165	Human papillomavirus infection	Human Diseases
MD06G1214700	ko05142	Chagas disease (American trypanosomiasis)	Human Diseases
MD06G1215900	ko00190	Oxidative phosphorylation	Metabolism
MD06G1215900	ko04723	Retrograde endocannabinoid signaling	Organismal Systems
MD06G1215900	ko04714	Thermogenesis	Organismal Systems
MD06G1215900	ko05010	Alzheimer disease	Human Diseases
MD06G1215900	ko05012	Parkinson disease	Human Diseases
MD06G1215900	ko05016	Huntington disease	Human Diseases
MD06G1215900	ko04932	Non-alcoholic fatty liver disease (NAFLD)	Human Diseases
MD06G1216800	ko04626	Plant-pathogen interaction	Organismal Systems
MD06G1217300	ko03010	Ribosome	Genetic Information Processing
MD06G1217600	ko04010	MAPK signaling pathway	Environmental Information Processing
MD06G1217600	ko04064	NF-kappa B signaling pathway	Environmental Information Processing
MD06G1217600	ko04620	Toll-like receptor signaling pathway	Organismal Systems
MD06G1217600	ko04624	Toll and Imd signaling pathway	Organismal Systems
MD06G1217600	ko04621	NOD-like receptor signaling pathway	Organismal Systems
MD06G1217600	ko04722	Neurotrophin signaling pathway	Organismal Systems
MD06G1217600	ko05133	Pertussis	Human Diseases
MD06G1217600	ko05152	Tuberculosis	Human Diseases
MD06G1217600	ko05170	Human immunodeficiency virus 1 infection	Human Diseases
MD06G1217600	ko05162	Measles	Human Diseases
MD06G1217600	ko05164	Influenza A	Human Diseases
MD06G1217600	ko05169	Epstein-Barr virus infection	Human Diseases
MD06G1217600	ko05145	Toxoplasmosis	Human Diseases
MD06G1217600	ko05140	Leishmaniasis	Human Diseases
MD06G1217600	ko05142	Chagas disease (American trypanosomiasis)	Human Diseases
MD06G1217700	ko04144	Endocytosis	Cellular Processes
MD06G1218000	ko04626	Plant-pathogen interaction	Organismal Systems
MD06G1218000	ko05145	Toxoplasmosis	Human Diseases
MD06G1218100	ko04142	Lysosome	Cellular Processes
MD06G1220900	ko00550	Peptidoglycan biosynthesis	Metabolism
MD06G1220900	ko04112	Cell cycle - Caulobacter	Cellular Processes
MD06G1220900	ko01502	Vancomycin resistance	Human Diseases
MD06G1221000	ko03060	Protein export	Genetic Information Processing
MD06G1221000	ko02024	Quorum sensing	Cellular Processes
MD06G1221300	ko00561	Glycerolipid metabolism	Metabolism
MD06G1221300	ko00564	Glycerophospholipid metabolism	Metabolism
MD06G1221400	ko03013	RNA transport	Genetic Information Processing
MD06G1221500	ko00520	Amino sugar and nucleotide sugar metabolism	Metabolism
MD06G1222200	ko03015	mRNA surveillance pathway	Genetic Information Processing
MD06G1222500	ko03018	RNA degradation	Genetic Information Processing
MD06G1222600	ko00514	Other types of O-glycan biosynthesis	Metabolism
MD06G1222600	ko00515	Mannose type O-glycan biosynthesis	Metabolism
MD06G1222700	ko00514	Other types of O-glycan biosynthesis	Metabolism
MD06G1222700	ko00515	Mannose type O-glycan biosynthesis	Metabolism
MD06G1222900	ko03022	Basal transcription factors	Genetic Information Processing
MD06G1222900	ko03420	Nucleotide excision repair	Genetic Information Processing
MD06G1222900	ko04110	Cell cycle	Cellular Processes
MD06G1223200	ko00190	Oxidative phosphorylation	Metabolism
MD06G1223200	ko04714	Thermogenesis	Organismal Systems
MD06G1223200	ko05010	Alzheimer disease	Human Diseases
MD06G1223200	ko05012	Parkinson disease	Human Diseases
MD06G1223200	ko05016	Huntington disease	Human Diseases
MD06G1224200	ko03015	mRNA surveillance pathway	Genetic Information Processing
MD06G1224400	ko00140	Steroid hormone biosynthesis	Metabolism
MD06G1224400	ko04913	Ovarian steroidogenesis	Organismal Systems
MD06G1224400	ko04917	Prolactin signaling pathway	Organismal Systems
MD06G1224400	ko04927	Cortisol synthesis and secretion	Organismal Systems
MD06G1224400	ko04934	Cushing syndrome	Human Diseases
MD06G1224400	ko00380	Tryptophan metabolism	Metabolism
MD06G1224400	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism
MD06G1224400	ko05206	MicroRNAs in cancer	Human Diseases
MD06G1224400	ko05204	Chemical carcinogenesis	Human Diseases
MD06G1224800	ko00140	Steroid hormone biosynthesis	Metabolism
MD06G1224800	ko00591	Linoleic acid metabolism	Metabolism
MD06G1224800	ko00380	Tryptophan metabolism	Metabolism
MD06G1224800	ko00830	Retinol metabolism	Metabolism
MD06G1224800	ko00232	Caffeine metabolism	Metabolism
MD06G1224800	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism
MD06G1224800	ko00982	Drug metabolism - cytochrome P450	Metabolism
MD06G1224800	ko05204	Chemical carcinogenesis	Human Diseases
MD06G1224900	ko04010	MAPK signaling pathway	Environmental Information Processing
MD06G1224900	ko04922	Glucagon signaling pathway	Organismal Systems
MD06G1225000	ko04010	MAPK signaling pathway	Environmental Information Processing
MD06G1225000	ko04922	Glucagon signaling pathway	Organismal Systems
MD06G1225200	ko03040	Spliceosome	Genetic Information Processing
MD06G1225300	ko04310	Wnt signaling pathway	Environmental Information Processing
MD06G1225300	ko04330	Notch signaling pathway	Environmental Information Processing
MD06G1225300	ko04722	Neurotrophin signaling pathway	Organismal Systems
MD06G1225300	ko05010	Alzheimer disease	Human Diseases
MD06G1225300	ko05165	Human papillomavirus infection	Human Diseases
MD06G1225500	ko03030	DNA replication	Genetic Information Processing
MD06G1225500	ko03420	Nucleotide excision repair	Genetic Information Processing
MD06G1225500	ko03430	Mismatch repair	Genetic Information Processing
MD06G1225500	ko03440	Homologous recombination	Genetic Information Processing
MD06G1225500	ko03460	Fanconi anemia pathway	Genetic Information Processing
MD06G1225600	ko00564	Glycerophospholipid metabolism	Metabolism
MD06G1226500	ko04145	Phagosome	Cellular Processes
MD06G1226500	ko04540	Gap junction	Cellular Processes
MD06G1226500	ko05130	Pathogenic Escherichia coli infection	Human Diseases
MD06G1226700	ko00564	Glycerophospholipid metabolism	Metabolism
MD06G1227600	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing
MD06G1227800	ko00010	Glycolysis / Gluconeogenesis	Metabolism
MD06G1227800	ko00052	Galactose metabolism	Metabolism
MD06G1228900	ko04075	Plant hormone signal transduction	Environmental Information Processing
MD06G1229100	ko00500	Starch and sucrose metabolism	Metabolism
MD06G1229100	ko00460	Cyanoamino acid metabolism	Metabolism
MD06G1229100	ko00940	Phenylpropanoid biosynthesis	Metabolism
MD06G1229400	ko04130	SNARE interactions in vesicular transport	Genetic Information Processing
MD06G1230500	ko04010	MAPK signaling pathway	Environmental Information Processing
MD06G1230900	ko04144	Endocytosis	Cellular Processes
MD06G1230900	ko04972	Pancreatic secretion	Organismal Systems
MD06G1230900	ko04962	Vasopressin-regulated water reabsorption	Organismal Systems
MD06G1230900	ko04961	Endocrine and other factor-regulated calcium reabsorption	Organismal Systems
MD06G1231000	ko04626	Plant-pathogen interaction	Organismal Systems
MD06G1231400	ko04138	Autophagy - yeast	Cellular Processes
MD06G1231400	ko04113	Meiosis - yeast	Cellular Processes
MD06G1231400	ko04213	Longevity regulating pathway - multiple species	Organismal Systems
MD06G1231500	ko04138	Autophagy - yeast	Cellular Processes
MD06G1231500	ko04113	Meiosis - yeast	Cellular Processes
MD06G1231500	ko04213	Longevity regulating pathway - multiple species	Organismal Systems
MD06G1231700	ko03010	Ribosome	Genetic Information Processing
MD06G1232100	ko05165	Human papillomavirus infection	Human Diseases
MD06G1232200	ko05165	Human papillomavirus infection	Human Diseases
MD06G1232500	ko00240	Pyrimidine metabolism	Metabolism
MD06G1232500	ko00410	beta-Alanine metabolism	Metabolism
MD06G1232500	ko00770	Pantothenate and CoA biosynthesis	Metabolism
MD06G1232500	ko00983	Drug metabolism - other enzymes	Metabolism
MD06G1232600	ko04014	Ras signaling pathway	Environmental Information Processing
MD06G1232600	ko04015	Rap1 signaling pathway	Environmental Information Processing
MD06G1232600	ko04010	MAPK signaling pathway	Environmental Information Processing
MD06G1232600	ko04013	MAPK signaling pathway - fly	Environmental Information Processing
MD06G1232600	ko04012	ErbB signaling pathway	Environmental Information Processing
MD06G1232600	ko04370	VEGF signaling pathway	Environmental Information Processing
MD06G1232600	ko04371	Apelin signaling pathway	Environmental Information Processing
MD06G1232600	ko04668	TNF signaling pathway	Environmental Information Processing
MD06G1232600	ko04066	HIF-1 signaling pathway	Environmental Information Processing
MD06G1232600	ko04068	FoxO signaling pathway	Environmental Information Processing
MD06G1232600	ko04072	Phospholipase D signaling pathway	Environmental Information Processing
MD06G1232600	ko04071	Sphingolipid signaling pathway	Environmental Information Processing
MD06G1232600	ko04024	cAMP signaling pathway	Environmental Information Processing
MD06G1232600	ko04022	cGMP-PKG signaling pathway	Environmental Information Processing
MD06G1232600	ko04151	PI3K-Akt signaling pathway	Environmental Information Processing
MD06G1232600	ko04150	mTOR signaling pathway	Environmental Information Processing
MD06G1232600	ko04140	Autophagy - animal	Cellular Processes
MD06G1232600	ko04114	Oocyte meiosis	Cellular Processes
MD06G1232600	ko04210	Apoptosis	Cellular Processes
MD06G1232600	ko04218	Cellular senescence	Cellular Processes
MD06G1232600	ko04510	Focal adhesion	Cellular Processes
MD06G1232600	ko04540	Gap junction	Cellular Processes
MD06G1232600	ko04550	Signaling pathways regulating pluripotency of stem cells	Cellular Processes
MD06G1232600	ko04810	Regulation of actin cytoskeleton	Cellular Processes
MD06G1232600	ko04620	Toll-like receptor signaling pathway	Organismal Systems
MD06G1232600	ko04650	Natural killer cell mediated cytotoxicity	Organismal Systems
MD06G1232600	ko04660	T cell receptor signaling pathway	Organismal Systems
MD06G1232600	ko04662	B cell receptor signaling pathway	Organismal Systems
MD06G1232600	ko04664	Fc epsilon RI signaling pathway	Organismal Systems
MD06G1232600	ko04666	Fc gamma R-mediated phagocytosis	Organismal Systems
MD06G1232600	ko04062	Chemokine signaling pathway	Organismal Systems
MD06G1232600	ko04910	Insulin signaling pathway	Organismal Systems
MD06G1232600	ko04912	GnRH signaling pathway	Organismal Systems
MD06G1232600	ko04915	Estrogen signaling pathway	Organismal Systems
MD06G1232600	ko04914	Progesterone-mediated oocyte maturation	Organismal Systems
MD06G1232600	ko04917	Prolactin signaling pathway	Organismal Systems
MD06G1232600	ko04921	Oxytocin signaling pathway	Organismal Systems
MD06G1232600	ko04926	Relaxin signaling pathway	Organismal Systems
MD06G1232600	ko04919	Thyroid hormone signaling pathway	Organismal Systems
MD06G1232600	ko04928	Parathyroid hormone synthesis, secretion and action	Organismal Systems
MD06G1232600	ko04916	Melanogenesis	Organismal Systems
MD06G1232600	ko04270	Vascular smooth muscle contraction	Organismal Systems
MD06G1232600	ko04725	Cholinergic synapse	Organismal Systems
MD06G1232600	ko04726	Serotonergic synapse	Organismal Systems
MD06G1232600	ko04720	Long-term potentiation	Organismal Systems
MD06G1232600	ko04730	Long-term depression	Organismal Systems
MD06G1232600	ko04722	Neurotrophin signaling pathway	Organismal Systems
MD06G1232600	ko04320	Dorso-ventral axis formation	Organismal Systems
MD06G1232600	ko04380	Osteoclast differentiation	Organismal Systems
MD06G1232600	ko04626	Plant-pathogen interaction	Organismal Systems
MD06G1232600	ko05200	Pathways in cancer	Human Diseases
MD06G1232600	ko05230	Central carbon metabolism in cancer	Human Diseases
MD06G1232600	ko05231	Choline metabolism in cancer	Human Diseases
MD06G1232600	ko05206	MicroRNAs in cancer	Human Diseases
MD06G1232600	ko05205	Proteoglycans in cancer	Human Diseases
MD06G1232600	ko05210	Colorectal cancer	Human Diseases
MD06G1232600	ko05212	Pancreatic cancer	Human Diseases
MD06G1232600	ko05225	Hepatocellular carcinoma	Human Diseases
MD06G1232600	ko05226	Gastric cancer	Human Diseases
MD06G1232600	ko05214	Glioma	Human Diseases
MD06G1232600	ko05216	Thyroid cancer	Human Diseases
MD06G1232600	ko05221	Acute myeloid leukemia	Human Diseases
MD06G1232600	ko05220	Chronic myeloid leukemia	Human Diseases
MD06G1232600	ko05218	Melanoma	Human Diseases
MD06G1232600	ko05211	Renal cell carcinoma	Human Diseases
MD06G1232600	ko05219	Bladder cancer	Human Diseases
MD06G1232600	ko05215	Prostate cancer	Human Diseases
MD06G1232600	ko05213	Endometrial cancer	Human Diseases
MD06G1232600	ko05224	Breast cancer	Human Diseases
MD06G1232600	ko05223	Non-small cell lung cancer	Human Diseases
MD06G1232600	ko05020	Prion diseases	Human Diseases
MD06G1232600	ko05034	Alcoholism	Human Diseases
MD06G1232600	ko04934	Cushing syndrome	Human Diseases
MD06G1232600	ko05166	Human T-cell leukemia virus 1 infection	Human Diseases
